  
       XFOIL         Version 6.97
  
 Calculated polar for: LRP01                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.300     Re =     0.100 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3054   0.05136   0.04652  -0.0491   1.0001   0.0255
  -4.000  -0.1684   0.02864   0.02213  -0.0735   1.0001   0.0243
  -3.000  -0.0352   0.01876   0.01030  -0.0785   1.0001   0.0315
  -2.000   0.0896   0.01476   0.00598  -0.0798   1.0001   0.0863
  -1.000   0.2309   0.01283   0.00530  -0.0855   0.9857   0.5199
   0.000   0.3827   0.01142   0.00447  -0.0902   0.9244   0.9999
   1.000   0.5226   0.01140   0.00395  -0.0922   0.8103   0.9999
   2.000   0.6403   0.01224   0.00397  -0.0892   0.6337   0.9999
   3.000   0.7500   0.01387   0.00487  -0.0861   0.4719   0.9999
   4.000   0.8593   0.01581   0.00642  -0.0836   0.3442   0.9999
   5.000   0.9670   0.01816   0.00868  -0.0810   0.2392   0.9999
   6.000   1.0710   0.02122   0.01191  -0.0778   0.1569   0.9999
   7.000   1.1672   0.02545   0.01658  -0.0737   0.0860   0.9999
   8.000   1.2436   0.03244   0.02426  -0.0673   0.0461   0.9999
   9.000   1.2869   0.04318   0.03641  -0.0589   0.0311   0.9999
  10.000   1.2536   0.05855   0.05312  -0.0512   0.0278   0.9999
  11.000   1.1802   0.08571   0.08118  -0.0664   0.0279   0.9999
  12.000   1.1054   0.12231   0.11798  -0.0894   0.0291   0.9999
